county,lat,long,ID
smith,39.796749,-98.7935393,381
stafford,38.0350094,-98.718816,382
stanton,37.5691072,-101.7935648,383
stevens,37.1929045,-101.3119354,384
sumner,37.2435967,-97.4792142,385
thomas,39.3529613,-101.0810229,386
trego,38.9289979,-99.9130572,387
wabaunsee,38.9468399,-96.1991241,388
wallace,38.9073846,-101.7565099,389
washington,39.7887478,-97.0917391,390
wichita,37.6922361,-97.3375448,391
wilson,37.5692118,-95.7452639,392
woodson,37.8811369,-95.7517113,393
wyandotte,39.1090458,-94.767624,394
adair,37.0954558,-85.289922,395
allen,36.7528961,-86.1924103,396
anderson,38.0096811,-84.9880147,397
ballard,37.0231521,-88.9888619,398
barren,36.9584649,-85.925817,399
bath,38.1245248,-83.7249243,400
bell,36.7370344,-83.6491695,401
boone,38.9589235,-84.7160121,402
bourbon,38.1944867,-84.2046611,403
boyd,38.3608934,-82.6945926,404
boyle,37.6240938,-84.8540572,405
bracken,38.686946,-84.0751461,406
breathitt,37.5248869,-83.2943551,407
breckinridge,37.7406389,-86.4109353,408
bullitt,37.9749498,-85.6742394,409
butler,37.240158,-86.673921,410
caldwell,37.1169666,-87.8391211,411
calloway,36.6257937,-88.271076,412
campbell,38.9339799,-84.3715286,413
carlisle,36.8432751,-88.9636817,414
carroll,38.65718,-85.1000246,415
carter,38.3199171,-83.0039034,416
casey,37.2911032,-84.9146294,417
christian,36.8778665,-87.5014545,418
clark,37.9713791,-84.1550145,419
clay,37.1540436,-83.723144,420
clinton,36.7190018,-85.1426047,421
crittenden,37.3600974,-88.0885106,422
cumberland,36.7934611,-85.3795095,423
daviess,37.6877924,-87.0818357,424
edmonson,37.1999181,-86.2206738,425
elliott,38.1178636,-83.0656398,426
estill,37.6896864,-83.9407279,427
fayette,38.0280648,-84.4722444,428
fleming,38.3663888,-83.6790737,429
floyd,37.5473459,-82.7645621,430
franklin,38.2520423,-84.8633812,431
fulton,36.5577082,-89.102082,432
gallatin,38.7531444,-84.8435828,433
garrard,37.6360342,-84.5408428,434
grant,38.6472221,-84.6162564,435
graves,36.7244966,-88.6569094,436
grayson,37.4537437,-86.3389464,437
green,37.2433976,-85.5346302,438
greenup,38.5108112,-82.9180186,439
hancock,37.8189002,-86.7532261,440
hardin,37.6645815,-85.9634901,441
harlan,36.8411336,-83.22678,442
harrison,38.4355948,-84.3216412,443
hart,37.2921203,-85.8845579,444
henderson,37.8367513,-87.5907631,445
henry,38.447983,-85.1191168,446
hickman,36.6903525,-88.9587214,447
hopkins,37.3006817,-87.5612458,448
jackson,37.4200233,-83.9913882,449
jefferson,38.1787175,-85.664528,450
jessamine,37.8652866,-84.576902,451
johnson,37.8397984,-82.8159642,452
kenton,38.9252546,-84.5331967,453
knott,37.3521946,-82.9314574,454
knox,36.8934427,-83.8545725,455
larue,37.5257936,-85.7027413,456
laurel,37.1000973,-84.1148273,457
lawrence,38.0601807,-82.7316588,458
lee,37.6001442,-83.7073043,459
leslie,37.082981,-83.3750732,460
letcher,37.1208843,-82.8451698,461
lewis,38.5192128,-83.3400338,462
lincoln,37.4657952,-84.6573677,463
livingston,37.1898627,-88.3343825,464
logan,36.823707,-86.8833607,465
lyon,36.9981232,-88.0658149,466
madison,37.7298081,-84.2974735,467
magoffin,37.6859873,-83.039044,468
marion,37.5413747,-85.2650391,469
marshall,36.8624306,-88.3264641,470
martin,37.8022242,-82.5077178,471
mason,38.5755445,-83.8118236,472
mccracken,37.0335839,-88.7107201,473
mccreary,36.735774,-84.4960095,474
mclean,37.5216272,-87.2594272,475
meade,37.9313371,-86.1902231,476
menifee,37.9357602,-83.6014187,477
mercer,37.8087581,-84.8760836,478
metcalfe,36.9767017,-85.6254484,479
monroe,36.699465,-85.7284653,480
montgomery,38.0372304,-83.9152368,481
morgan,37.9198759,-83.2097119,482
muhlenberg,37.1984359,-87.1417319,483
nelson,37.8078463,-85.4741595,484
nicholas,38.3287954,-84.0153581,485
ohio,37.4757698,-86.8560639,486
oldham,38.4975639,-85.4210695,487
owen,38.5303187,-84.819254,488
owsley,37.4082295,-83.681994,489
pendleton,38.6914606,-84.3689142,490
perry,37.2203608,-83.1640699,491
pike,37.4512431,-82.3855722,492
powell,37.8192526,-83.8239902,493
pulaski,37.1124781,-84.593893,494
robertson,38.513372,-84.0465647,495
rockcastle,37.3885959,-84.3254309,496
rowan,38.1822638,-83.4039128,497
russell,38.5173028,-82.6976631,498
scott,38.2776401,-84.5816131,499
shelby,38.2215625,-85.2111267,500
simpson,36.73518,-86.5780102,501
spencer,38.0237475,-85.3203899,502
taylor,37.3396409,-85.3096607,503
todd,36.8098474,-87.1728185,504
trigg,36.7949221,-87.8782433,505
trimble,38.5984202,-85.3221506,506
union,37.637247,-87.958036,507
warren,36.9812407,-86.4233533,508
washington,37.7310874,-85.1750475,509
wayne,36.7822106,-84.8250848,510
webster,37.5139929,-87.6650997,511
whitley,36.7324324,-84.1512134,512
wolfe,37.7430509,-83.4868591,513
woodford,38.0686424,-84.7404532,514
alcona,44.6765986,-83.5908023,515
alger,46.4047895,-86.5280993,516
allegan,42.5867203,-85.8861492,517
alpena,45.0616794,-83.4327528,518
antrim,44.9947369,-85.1133189,519
arenac,44.0608193,-83.8718694,520
